Wavelength,Excitation,Emission
523,4.491651642,56.97745277
524,4.068354629,54.38756856
525,3.69992945,52.07190737
526,3.441247942,49.8781231
527,3.182566434,48.11090798
528,2.994434428,46.43510055
529,2.84549659,44.85070079
530,2.751430587,43.54052407
531,2.641686917,42.13893967
532,2.586815082,41.07251676
533,2.508426746,39.85374771
534,2.453554911,38.81779403
535,2.383005409,37.93418647
536,2.351650074,37.11151737
537,2.335972407,36.25837904
538,2.281100572,35.49664839
539,2.226228737,34.64351005
540,2.21055107,33.85131018
541,2.187034569,33.0591103
542,2.187034569,32.44972578
543,2.116485067,31.74893358
544,2.147840401,30.80438757
545,2.116485067,30.06398537
546,2.108646233,29.06764168
547,2.085129733,28.2754418
548,2.085129733,27.33698964
549,2.1008074,26.37720902
550,2.1008074,25.47531993
551,0,24.44241316
552,0,23.45521024
553,0,22.4527727
554,0,21.44119439
555,0,20.56977453
556,0,19.53991469
557,0,18.68677636
558,0,17.76965265
559,0,16.92260817
560,0,16.09689214
561,0,15.34430225
562,0,14.66179159
563,0,13.9213894
564,0,13.34552102
565,0,12.62949421
566,0,12.15112736
567,0,11.59658745
568,0,10.99939062
569,0,10.64594759
570,0,10.1218769
571,0,9.63741621
572,0,9.140767824
573,0,8.73857404
574,0,8.427787934
575,0,8.117001828
576,0,7.772699573
577,0,7.495429616
578,0,7.309567337
579,0,7.007921999
580,0,6.849482023
581,0,6.547836685
582,0,6.297989031
583,0,6.029859842
584,0,5.868372943
585,0,5.679463742
586,0,5.511882998
587,0,5.295551493
588,0,5.079219988
589,0,4.87202925
590,0,4.762340037
591,0,4.573430835
592,0,4.42717855
593,0,4.244363193
594,0,4.070688605
595,0,3.939670932
596,0,3.823887873
597,0,3.610603291
598,0,3.531383303
599,0,3.345521024
600,0,3.208409506
601,0,3.110907983
602,0,2.964046313
603,0,2.84369287
604,0,2.744667885
605,0,2.634978672
606,0,2.487202925
607,0,2.403412553
608,0,2.316879951
609,0,2.205362584
610,0,2.097501523
611,0,2.045399147
612,0,1.90432663
613,0,1.855880561
614,0,1.702010969
615,0,1.631627057
616,0,1.597196831
617,0,1.503656307
618,0,1.444546009
619,0,1.384216941
620,0,1.302864107
621,0,1.268738574
622,0,1.215112736
623,0,1.150213285
624,0,1.110298598
625,0,1.092017063
626,0,1.041133455
627,0,1.021328458
628,0,0.988726386
629,0,0.947288239
630,0,0.904631322
631,0,0.886349787
632,0,0.861060329
633,0,0.827239488
634,0,0.804082876
635,0,0.759293114
636,0,0.749238269
637,0,0.723948812
638,0,0.704143815
639,0,0.680987203
640,0,0.659354052
641,0,0.647775746
642,0,0.604814138
643,0,0.584704449
644,0,0.578001219
645,0,0.560329068
646,0,0.536867764
647,0,0.514320536
648,0,0.51218769
649,0,0.482023157
650,0,0.468312005
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,0,0
662,0,0
663,0,0
664,0,0
665,0,0
666,0,0
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
